,AGR2,AGRN,CXCL13,BDNF,BST2,CALB1,TNFRSF14,CD276,CD40,CORO1A,CXCL5,EGF,BSG,CCL24,FGF1,FGFR3,CX3CL1,CSF3,CSF2,GH1,HBA1,ICAM2,IFNG,IL1B,IL1R1,IL10,IL12A,IL16,IL17A,IL18,IL1RN,IL2,IL22,IL23A,IL3,IL31,IL4,IL5,IL6,IL6R,CXCL8,IL9,IFNA1,IFNA2,CXCL10,FABP1,OLR1,CCL2,CCL8,CCL22,MSLN,CXCL9,CCL3,CCL4,CXCL3,CCL15,MB,NEG,OSM,PCSK9,PTX3,PLAU,CALCA,TNFRSF1A,CCL17,CD142,TNF,TREM2,KDR,VEGFA
1B0,11.25393985046273,25.61330377716056,0.0,97.81918615228393,0.0,5.674756639847531,0.0,4995.0040616431625,9.322986813404563,5341.679860151689,4701.886947010155,0.0,0.0,50.91915165463048,0.0,0.0,0.0,0.0,1.1843207003258889,0.0,388.39251266013775,0.0,9.180929112264215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.848713063217826,42.517936956035015,79.44881213504729,0.0,0.0,23.076606218154133,1.2209853597391722,0.0,9.491199344336279,392.44140375612704,0.0,0.0,0.0,0.0,0.0,0.0,51.462762441113256,4.49567788686777,0.0,0.015823656471274403,0.0,789.1643892362277,0.0,8970.062583201183,2.4215301625621235,927.8134908400176,0.0,0.0,0.0,0.0,0.0,242.82347334628145
1B1,0.0,51.29165614135285,0.0,171.96074498265904,0.0,6.099450807860556,0.0,5078.170025671466,16.041176294693543,4948.489418286381,inf,0.0,7.809060386749401,71.3860901213878,0.0,0.0,1.6857389979228417,9.780191478905369,1.8199036502979438,0.0,482.41344257337875,304.02429818872076,0.0,0.0,9.546482995577408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06548070042136,64.48718241952538,839.5226254552239,0.0,0.0,0.0,1.6981780126038153,0.0,10.671273760264647,1352.1387547749869,0.0,0.0,0.0,0.0,0.0,0.0,604.8943899535061,0.0,0.0,0.0,0.0,1836.1231873219874,0.0,inf,1.516522875460442,1628.692284825759,0.0,0.0,0.0,0.0,0.0,425.4798210934067
1D0,12.266023072257001,36.72347891450768,3.4574907072778616,128.62115535014937,1.183518205317536,7.92702150390592,0.0,6146.276555730878,11.260203324974785,6416.609549922125,inf,0.0,6.728956322176065,60.19188612905301,0.0,0.0,0.0,3.4859116508409533,3.2843187874013857,0.0,867.7920226241347,708.981669506435,14.373157747051774,4.344352871783601,9.362265419264665,0.0,0.0,0.0,0.0,0.0,0.0,4.209664831345149,0.0,0.0,0.0,0.0,0.0,0.0,6.488243220000257,53.800012385627205,84.26633914280184,0.0,0.0,23.694995887501438,1.135992616177949,160.99970006190492,16.027589357306685,400.0943677270437,0.0,0.0,0.0,27.841132737328437,0.0,0.0,46.84070155400011,7.365007860420614,0.0,0.03727719548867188,0.0,1293.1425976794208,43.85038955863301,8262.93921350679,2.206725202636981,1123.909040205953,18.614393956534876,0.0,3.183100359638337,0.0,0.0,318.85280292891474
1D1,0.0,33.47505009996051,0.0,116.4740520232067,0.0,5.91910295870081,0.0,5064.077363127872,10.261842026457733,5192.288750390502,inf,0.0,3.7100594268398783,56.79268794986529,0.0,0.0,1.0185695801355006,4.556647492302548,2.2920032092513427,0.0,522.5729981904819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.082734158147414,39.354494877495476,417.5630166868874,0.0,0.0,15.237567066829753,1.2378889270716564,0.0,0.0,758.3073060523834,0.0,0.0,0.0,0.0,0.0,0.0,404.03678766844627,0.0,0.0,0.005592005840246308,0.0,978.8498734088687,0.0,11606.126996972784,0.0,1214.715251666706,0.0,0.0,0.0,0.0,0.0,256.66443820305926
1E0,10.646456462422,26.640298058103134,0.0,107.1250710435231,0.0,6.926718197005952,0.0,6003.562076987159,14.0647278844931,5627.032231023681,4951.265784794099,0.0,8.76154995018991,0.0,0.0,0.0,0.0,0.0,2.5902405368466246,0.0,460.5195205002891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.86557367302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8021241842212,30.80356853221547,144.85685544969897,0.0,0.0,0.0,0.0,0.0,5.450766143256374,468.7506185608197,0.0,0.0,0.0,0.0,0.0,0.0,63.1111195530299,3.63848892235119,0.0,0.006709991129817038,0.0,618.7660359075073,0.0,9637.87479591473,0.0,925.7545435391735,10.76482420279575,0.0,0.0,0.0,0.0,203.03931129214982
1E1,0.0,24.86517428182638,0.0,98.73275381981897,0.0,5.619303794183638,0.0,5093.342848523274,8.933452714266883,5455.273020889164,inf,0.0,3.4662175037746095,0.0,0.0,0.0,0.0,3.59030408676447,2.2312344510147772,0.0,379.58371437793875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76039416850613,28.75174823407347,411.4783508265563,0.0,0.0,0.0,0.0,0.0,6.761277301190429,620.2175220540664,0.0,0.0,0.0,0.0,0.0,0.0,289.53576291346,0.0,0.0,0.0,0.0,753.4773005947528,0.0,10619.805874127187,0.0,1044.008961999151,0.0,0.0,0.0,0.0,0.0,275.54888627372463
1F0,0.0,54.10333135410454,0.0,190.70627635422545,0.0,8.243696492224416,0.0,6209.791470884728,18.39389240237056,7180.716574238447,inf,0.0,9.361444659040641,0.0,0.0,0.0,0.0,0.0,1.7108204034052652,0.0,542.167907775654,417.4949839316164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.04363681757911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711877805312457,65.88668451362315,218.32883422582483,0.0,0.0,0.0,1.2637702974098477,0.0,12.163491721433955,662.6630209949524,0.0,0.0,0.0,0.0,0.0,0.0,129.18386271008902,3.5940577889508534,0.0,0.007282525554395922,0.0,1786.8895109798336,25.54024739423347,inf,0.0,1540.9686539290174,12.065158308112656,0.0,0.0,0.0,0.0,437.8569463378788
1F1,0.0,31.60033321131209,0.0,131.2145306349408,0.0,4.721480423765002,0.0,5136.789030992405,9.44040617759534,4451.761543349722,inf,0.0,5.2189932175665605,0.0,0.0,0.0,0.9968811611477217,4.305156307136082,2.5693624796889565,0.0,340.87876076080937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19070943341799,46.31585017882803,515.1728281775613,0.0,0.0,0.0,1.100961861317355,0.0,0.0,794.7369082561316,0.0,0.0,0.0,0.0,0.0,0.0,446.85234537442653,0.0,0.0,0.008977695214150334,0.0,1341.151672272186,0.0,inf,0.0,1419.7630452365763,0.0,0.0,0.0,0.0,0.0,327.99200972605513
1I0,0.0,54.99786641192702,0.0,179.68039215995842,0.0,5.347778064361439,0.0,5851.34044853725,14.712626713153336,7493.930145900419,4769.235338949597,0.0,4.722868262065503,95.14341016546673,0.0,0.0,0.0,0.0,2.5439900461461904,0.0,526.2774267043092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004229789468452,65.4780933451334,143.00824530674026,0.0,0.0,0.0,0.0,0.0,0.0,506.10833370726306,0.0,0.0,0.0,0.0,0.0,0.0,83.94084730989414,0.0,0.0,0.0,0.0,1974.6210389960024,0.0,10770.310711504986,0.0,1380.061642925971,0.0,0.0,0.0,0.0,0.0,467.1333042722903
1I1,0.0,25.57307240001505,0.0,93.9043925371265,0.0,0.0,0.0,5422.252329544216,7.864296044760867,5192.144499485683,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2752083248859396,0.0,343.5595938324023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.032485790325754,31.896774985794234,369.70874792107503,0.0,0.0,0.0,0.0,0.0,0.0,648.7192211246925,0.0,0.0,0.0,0.0,0.0,0.0,319.24014320346527,0.0,0.0,0.0,0.0,675.5079914950924,0.0,9358.379923352908,0.0,1064.7285025740969,0.0,0.0,0.0,0.0,0.0,216.3768247748067
