,AGR2,AGRN,CXCL13,BDNF,BST2,CALB1,TNFRSF14,CD276,CD40,CORO1A,CXCL5,EGF,BSG,CCL24,FGF1,FGFR3,CX3CL1,CSF3,CSF2,GH1,HBA1,ICAM2,IFNG,IL1B,IL1R1,IL10,IL12A,IL16,IL17A,IL18,IL1RN,IL2,IL22,IL23A,IL3,IL31,IL4,IL5,IL6,IL6R,CXCL8,IL9,IFNA1,IFNA2,CXCL10,FABP1,OLR1,CCL2,CCL8,CCL22,MSLN,CXCL9,CCL3,CCL4,CXCL3,CCL15,MB,NEG,OSM,PCSK9,PTX3,PLAU,CALCA,TNFRSF1A,CCL17,CD142,TNF,TREM2,KDR,VEGFA
1L0,0.0,25.820377441389507,0.0,98.95731816004708,0.0,6.367171256072205,0.0,5093.762197329643,9.080716209657556,5139.122991078122,4290.368626403738,0.0,3.8397708395487515,0.0,0.0,0.0,0.0,0.0,2.4947665887162493,0.0,438.83406652055464,350.4444334449833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388952348002107,39.66281357914576,70.38569622398573,0.0,0.0,0.0,0.0,0.0,0.0,329.53990054316677,0.0,0.0,0.0,0.0,0.0,0.0,38.09536838532061,6.45708798948323,0.0,0.0036148461825070578,0.0,778.378100753524,0.0,8076.4801696459745,0.0,860.6780544708308,14.186455184365476,0.0,0.0,0.0,0.0,203.35775666955786
1L1,0.0,23.128929772790766,0.0,81.3462777049471,0.0,5.072408329825866,0.0,4946.549221785561,0.0,5205.004166610293,inf,0.0,3.280205540819114,0.0,0.0,0.0,0.0,0.0,1.5969003132177029,0.0,352.8849472639489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88684681259705,29.3462011814373,291.74248311173443,0.0,0.0,0.0,0.0,0.0,8.03803144736176,466.13510175111884,0.0,0.0,0.0,0.0,0.0,0.0,209.7731966953496,0.0,0.0,0.0,0.0,504.7433156957588,0.0,8561.294084507123,0.0,845.9893648546363,0.0,0.0,0.0,0.0,0.0,147.19081075401806
2C0,0.0,21.233002130539504,0.0,71.01524896588836,0.0,6.094541060662502,0.0,5694.20330455402,0.0,6190.07615280702,3900.518798490164,0.0,3.2759209909188414,0.0,0.0,0.0,0.0,0.0,1.6646593966398495,0.0,467.698419928386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266449224823555,23.70564530815698,70.79023329060374,0.0,0.0,0.0,1.2218507908041272,0.0,0.0,283.9643068051419,0.0,0.0,0.0,0.0,0.0,0.0,32.116767304466826,0.0,0.0,0.00155492939377503,0.0,1169.886057429271,0.0,8741.662616356509,0.0,698.445131149153,0.0,0.0,0.0,0.0,0.0,173.10746208381838
2C1,0.0,12.808600393619296,0.0,60.33055851380207,0.0,4.835345033762248,0.0,4224.043957308561,0.0,5494.052150507913,inf,0.0,0.0,0.0,0.0,0.0,0.0,3.412396354518647,2.4322860962035207,0.0,298.39557616352926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.233783811823148,22.89968946893462,230.5178361308535,0.0,0.0,0.0,0.0,80.287685740605,0.0,530.2959140095909,0.0,0.0,0.0,0.0,0.0,0.0,224.52979385695406,0.0,0.0,0.009592169425075079,0.0,1028.5409680622388,0.0,10149.64548443727,0.0,672.7802515895348,10.752474637388842,0.0,0.0,0.0,0.0,147.39705210220652
2D0,0.0,21.9949283945664,0.0,87.29821360136532,0.0,6.771395103747519,0.0,6633.213292011594,8.267815133989373,7772.087642438912,3731.727211429089,0.0,4.204946472276867,0.0,0.0,0.0,0.0,0.0,2.344484205148205,0.0,465.87974871920926,310.2317692543042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.077721270684623,26.21672592166081,82.68252750179417,0.0,0.0,0.0,1.382075257353609,0.0,5.734402175477507,334.3765804361321,0.0,0.0,0.0,0.0,0.0,0.0,40.41257648825604,0.0,0.0,0.016095050606631026,0.0,1155.4778515423652,0.0,8263.387006432735,0.0,761.0522986627874,0.0,0.0,0.0,0.0,0.0,194.81602822201918
2D1,0.0,19.231322662742667,0.0,69.58272123927024,0.0,5.92415250765154,0.0,5488.687386121798,0.0,6689.678285601283,5152.07243789835,0.0,3.5707926020469287,0.0,0.0,0.0,1.0190686992992322,3.742741573973488,2.8799505429617365,0.0,451.03129316866944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471929043155564,26.5704196201546,320.1446797966403,0.0,0.0,0.0,1.204750725184118,84.58687245372838,9.35755995183668,633.7243306813032,0.0,0.0,0.0,0.0,0.0,0.0,296.47817082457925,0.0,0.0,0.008616930925108833,0.0,793.6886444748772,0.0,8766.75731641732,0.0,753.2721439417994,0.0,0.0,0.0,0.0,0.0,165.24512354778224
2G0,,22.7487904882124,0.0,101.98405212809914,0.0,,0.0,,12.219219322322827,6258.040903333001,3697.58834200718,0.0,,0.0,0.0,,0.0,0.0,1.1443632969470374,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,7.882507231694289,25.534171600061246,146.58341893420337,,0.0,0.0,0.0,0.0,0.0,343.34500853679214,0.0,0.0,0.0,,0.0,0.0,59.51342508246347,0.0,0.0,0.009794388612891693,0.0,,0.0,8819.168955867995,0.0,780.7696018912014,0.0,0.0,,0.0,0.0,149.9115625678239
2G1,0.0,9.40228630342074,0.0,74.3231263540992,0.0,0.0,0.0,3808.6610902814573,0.0,4684.199551410806,inf,0.0,0.0,0.0,0.0,0.0,0.0,3.4267940267627313,2.4005179484084986,0.0,304.3722060219133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.113325000072784,23.418847848605818,337.15285987416655,0.0,0.0,0.0,1.1591670743651046,0.0,0.0,495.6025858806936,0.0,0.0,0.0,0.0,0.0,0.0,257.9976101361437,0.0,0.0,0.004053896570781811,0.0,900.6871634638595,0.0,9018.722329796085,0.0,765.6791331623647,0.0,0.0,0.0,0.0,0.0,152.26628236452495
2I0,0.0,32.06659168652925,0.0,89.63700640658546,0.0,5.423121272771301,0.0,5370.941627154454,7.8552761202559775,6353.880753325621,4133.2857802331,0.0,5.204300376440467,0.0,0.0,0.0,0.0,0.0,2.870099262746905,0.0,565.6968460328799,437.24314136321857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03293006800289,34.399400371399594,72.58984457725829,0.0,0.0,0.0,1.2224091308044043,0.0,7.433376336889439,292.1214265523625,0.0,0.0,0.0,0.0,0.0,0.0,39.42811394712332,4.258787258867995,0.0,0.013601240413792444,0.0,1760.5466229754716,0.0,6455.215864983428,0.0,899.124131244438,12.839016999212587,0.0,0.0,0.0,0.0,251.59418205427554
2I1,13.012272327973255,39.01836256534609,0.0,111.68831564750666,0.0,7.22507450076431,0.0,6293.848062483809,15.747279294747647,7509.938243152269,inf,0.0,9.852313660261917,49.498138923927776,0.0,0.0,1.5535538883166242,5.461962927884896,2.1813341015766765,0.0,314.284183255747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.569966567911266,38.13549834288291,521.0047378239648,0.0,0.0,0.0,1.3564094705221084,0.0,9.162115124161941,880.0630801803828,0.0,11.52493320575624,0.0,0.0,0.0,0.0,482.28858168482554,0.0,0.0,0.009419169487143124,0.0,1906.1033987966186,0.0,9486.362508864207,1.5919961664082363,1295.2706557038086,11.697370350823299,0.0,0.0,0.0,0.0,350.63116662201327
2J0,0.0,15.726712264865121,0.0,48.48520586494322,0.0,4.802259950426715,0.0,5836.006246630833,0.0,6684.278209880211,2993.76291340176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.948357195374619,0.0,514.6281772705888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048543023086311,20.083887046671975,40.95433096639647,0.0,0.0,0.0,1.0751557209081801,80.27645097876875,6.494329861502317,110.06087845951735,0.0,0.0,0.0,0.0,0.0,0.0,23.282284309065968,0.0,0.0,0.002831941351562227,0.0,888.4003377696739,0.0,3606.8315842267143,1.2439885336420908,423.94011531864913,0.0,0.0,0.0,0.0,0.0,130.03741680512337
2J1,0.0,32.060790143452344,0.0,75.12849903600045,0.0,6.06539597751236,0.0,5161.197599154315,11.412335907271206,7587.711680586726,inf,0.0,6.9383000268572,0.0,0.0,0.0,1.097991428977983,5.691615461770264,2.2845213317771624,0.0,354.70013244449564,0.0,10.023582304243366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.830014988660132,44.40050660405457,428.44710857376185,0.0,0.0,10.61188727228133,1.3343643265370864,0.0,11.220334261369617,633.6281263646945,0.0,8.267638235751186,0.0,0.0,0.0,0.0,359.7673829428153,5.102590922419015,0.0,0.007350658656943509,0.0,1409.2697677156682,0.0,10234.295783117408,1.646347461301487,973.6989031222586,12.509767699532574,0.0,0.0,0.0,0.0,224.89257002530866
2K0,0.0,10.105826445981458,0.0,34.62131594411664,0.0,6.5241771570444484,0.0,5025.405539779697,0.0,6382.670992325749,1906.0337361285003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.783018900923266,0.0,349.7096970347293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0513083487706436,11.184191337775188,26.159223973696907,0.0,0.0,0.0,0.0,0.0,6.410779054930621,61.001802902671116,0.0,0.0,0.0,0.0,0.0,0.0,13.484747883320095,3.5857483233891836,0.0,0.0,0.0,627.752074283025,0.0,2451.395284865574,0.0,231.0997111707627,11.224743653138585,0.0,0.0,0.0,0.0,71.01731281163568
2K1,0.0,19.924182835599876,0.0,55.620912178243465,0.0,6.931933369004447,0.0,5207.595145233858,0.0,6908.140726574697,4529.180336922756,0.0,4.909664325666636,0.0,0.0,0.0,0.0,0.0,3.7909345538380124,0.0,483.4806387481404,364.26213800281806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.126023732332346,24.74876135512415,250.45845012242825,0.0,0.0,16.26631094973262,1.156888517068077,0.0,7.968639997355869,340.69962801815,0.0,0.0,0.0,0.0,0.0,0.0,201.19867534985548,0.0,0.0,0.0,0.0,1067.5073918845055,0.0,5172.16110757158,1.437927440101146,575.0034090938169,13.587845909693927,0.0,0.0,0.0,0.0,177.08415452539634
2L0,0.0,31.73398099679068,0.0,80.07465783982728,0.0,5.8534273539700985,0.0,5125.747680583296,8.100132842009913,6289.713548101571,3859.19473011912,0.0,8.4568603889546,0.0,0.0,0.0,0.0,0.0,2.4160412538993628,0.0,394.38039146113806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.110130542298007,33.678477266736266,67.7197756816341,0.0,0.0,0.0,1.194267124792799,0.0,5.551406879468508,248.51485418948263,0.0,0.0,0.0,0.0,0.0,0.0,35.54537097665344,0.0,0.0,0.005726030919909432,0.0,1749.4515695626635,0.0,6085.16976163391,0.0,816.460667811651,0.0,0.0,0.0,0.0,0.0,224.9284170771257
2L1,0.0,32.44500075162171,0.0,100.14282815528885,0.0,9.261691565144435,0.0,6028.340097507952,12.793206963290446,6105.450142736666,inf,0.0,6.541152194317988,0.0,0.0,0.0,1.2859845118888973,6.894521068552888,2.1397408535137825,0.0,613.2985545700155,340.22602302699585,0.0,0.0,10.10860600889681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.548696659924264,41.14027772126742,498.5821433488653,0.0,0.0,0.0,1.2861427232167144,96.94502041221918,9.015573063811383,711.0921937008418,0.0,9.978454870253316,0.0,0.0,0.0,0.0,289.2039614758275,4.351010428104958,0.0,0.030298300289446568,0.0,1691.7827466356982,0.0,9314.450471976334,2.373351617923169,1065.7561717036597,13.294017552448926,0.0,0.0,0.0,0.0,277.01279870978806
3A0,0.0,33.631604525964434,0.0,135.8517787955264,0.0,5.476630880283338,0.0,6140.455694362251,10.15115281038796,6180.633179427248,5093.477461109678,0.0,10.124073176614134,0.0,0.0,0.0,0.0,0.0,2.1216392952306666,0.0,494.9423132959493,282.81712315193323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.971526882670431,38.99901431144529,88.61425128682392,0.0,0.0,0.0,0.0,0.0,5.68272540118971,540.7505232812022,0.0,0.0,0.0,0.0,0.0,0.0,48.73609929846871,6.445930556028719,0.0,0.007057536402447717,0.0,760.7966394198795,0.0,10719.841461379121,0.0,1073.0843669843257,12.846155072514389,0.0,0.0,0.0,0.0,275.8036468163791
3A1,10.270894737019578,44.11422699942228,0.0,139.25436010032433,0.0,7.135223899600819,0.0,6720.362165706154,14.603719621199604,5926.725110960572,inf,0.0,9.488621524035821,0.0,0.0,0.0,1.5554910469946623,5.139719496501726,2.4616159045265738,0.0,381.2094293921688,608.701444780191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.01641256020233,49.31738674608717,445.7515731483597,0.0,0.0,14.811213626245287,1.1720608829868921,92.65763743199935,11.131949825278825,1082.0131315299861,0.0,0.0,0.0,0.0,0.0,0.0,406.3866481664804,6.022627853290152,0.0,0.0027606573604984875,0.0,1004.650163988029,0.0,inf,0.0,1342.6170663226096,11.208871713088245,0.0,0.0,0.0,0.0,288.32648313296704
3B0,0.0,21.442119030629982,0.0,89.91751538771035,0.0,4.9184969685239155,0.0,4629.438721131705,0.0,4827.427348119369,4453.780169132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789994445688562,0.0,389.9279002094016,377.42994335848863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.195116480835762,28.90988461962334,58.55045740750046,0.0,0.0,0.0,0.0,89.24203164198732,5.505208050993735,300.1477079509227,0.0,0.0,0.0,0.0,0.0,0.0,30.87400189945616,0.0,0.0,0.00448476612590018,0.0,534.6549541288233,0.0,9765.921860176188,0.0,830.7971076544064,0.0,0.0,0.0,0.0,0.0,189.29653973183645
3B1,0.0,44.71173699246161,0.0,134.0444140549681,0.0,7.383716220282218,0.0,5988.369069275696,12.434202356974737,5515.005758879003,inf,0.0,6.068859724462485,56.40390871143193,0.0,0.0,1.1752069628313235,5.183649656742093,1.7386184150770554,0.0,456.80313318399135,461.6104196400749,13.839818099690648,0.0,9.590917775286222,0.0,0.0,0.0,0.0,0.0,5.074047484226956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.384664597182837,63.945290619497655,610.6344947365135,0.0,0.0,18.090304939979628,1.3741179982104152,87.03889382668015,13.317064728187653,963.7197518189839,0.0,0.0,0.0,0.0,0.0,0.0,381.3970173680972,5.876378646028151,0.0,0.013814231700575393,0.0,1078.899162163275,0.0,inf,2.485231462241893,1135.7942836899078,11.029626131692874,0.0,0.0,0.0,0.0,300.3907441514998
3C0,0.0,31.36519669869435,0.0,98.6454484225612,0.0,5.798084479848192,0.0,5631.671482132598,0.0,4415.527731000526,4686.600605753974,0.0,4.405207792299946,0.0,0.0,0.0,0.0,0.0,2.313217526286996,0.0,505.01134672436336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693951090466953,36.49549758674502,63.28306761868247,0.0,0.0,0.0,0.0,0.0,7.375323273512414,344.14215589195584,0.0,0.0,0.0,0.0,0.0,0.0,29.03880991980787,0.0,0.0,0.0017594363967184667,0.0,768.8957301731153,25.11971008106657,10636.960798413478,1.3154696473833545,918.9663952102945,0.0,0.0,0.0,0.0,0.0,227.6635194839292
3C1,0.0,43.489197858962875,0.0,128.84707566893672,0.0,5.891337568025533,0.0,5237.509285796964,12.90262155476079,5349.40808918807,inf,0.0,6.651873468573312,0.0,0.0,0.0,1.077893284213511,4.103948646084533,1.5284426531128983,0.0,403.5434949150554,567.4668460818152,0.0,0.0,9.495631680451819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.282857301424656,41.230095006383905,431.24504640481115,0.0,0.0,0.0,1.2703111199616293,0.0,12.25309051618464,717.0033954118919,0.0,0.0,0.0,0.0,0.0,0.0,358.1620585072104,5.734222929215476,0.0,0.008242736668720767,0.0,757.88570411115,0.0,inf,0.0,1284.3116286382585,0.0,0.0,0.0,0.0,0.0,308.45087318798664
3D0,0.0,15.063983796140345,0.0,67.00267759440905,0.0,4.682800026368059,0.0,4691.450837738885,0.0,5407.911528399991,3377.5680020558416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095083759294682,0.0,447.7678698861733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583053675385304,21.35565640031296,,0.0,0.0,0.0,,0.0,0.0,290.01956235677363,0.0,0.0,0.0,0.0,,0.0,34.09190185371337,0.0,0.0,0.0,0.0,388.2652930064864,0.0,7734.327616119967,0.0,676.5569522932773,0.0,0.0,0.0,0.0,0.0,
3D1,0.0,28.54343890004797,0.0,75.05608436189824,1.0690630342285157,5.57114188534906,0.0,5049.514640893763,8.467345942381648,5727.145820515216,inf,0.0,5.525048714349851,0.0,0.0,0.0,0.0,5.545765490378817,2.456095660194944,0.0,457.24723049567774,649.5615922380333,9.088321287895573,4.925687499607839,9.508715920672415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.528011537515585,31.693948638918542,273.4204977550792,0.0,0.0,21.350844810294515,1.3770332446075195,136.73774836471807,10.924777610477818,577.7519911716438,0.0,0.0,0.0,30.214284692005535,0.0,0.0,174.59771919795094,7.868047694358234,0.0,0.025098219603648223,0.0,566.0692680661627,23.98930864239035,10889.91532236809,1.753952281762143,823.9439666658466,13.671230675956739,0.0,0.0,0.0,0.0,172.01962845501248
3E0,0.0,23.263408997603143,0.0,88.02255959713968,0.0,0.0,0.0,4780.438818528071,0.0,5564.382002323283,3699.233921362207,0.0,3.606061862760704,0.0,0.0,0.0,0.0,0.0,2.502174422674053,0.0,317.81553994347496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067125874949618,25.589338838519748,89.22330759182226,0.0,0.0,9.539883162448799,0.0,0.0,5.386881127903217,360.62360019827656,0.0,0.0,0.0,0.0,0.0,0.0,40.11479407030828,0.0,0.0,0.0,0.0,678.0810199492254,0.0,10420.501765255649,0.0,777.8446806673778,0.0,0.0,0.0,0.0,0.0,206.048326431698
